quotes,processed_quotes
Есть в сердце маленькое место, сердце маленький место 
"но больше нет тебе там места,", место 
"Мои самые любимые вещи нельзя купить. И абсолютно очевидно, что самый ценный ресурс из всех в нашей жизни - это ВРЕМЯ.", самый любимый вещь купить абсолютно очевидно самый ценный ресурс весь наш жизнь время 
Познать истину красоты можно лишь душой и сердцем!, познавать истина красота лишь душа сердце 
я трачу время как монетки, тратить время монетка 
а может это время тратит меня, это время тратить 
Мужчина должен быть старше. Даже если он моложе., мужчина должный старый молодой 
"Избавься от страстей, и получишь исцеление.", избавляться страсть получать исцеление 
"Умение общаться с людьми - это товар. И я заплачу за него больше, чем за что-либо другое на свете.", умение общаться человек товар заплакать что-либо свет 
"И делай с ним, что хошь.", делать хотеть 
Из фильма Приключения Буратино, фильм приключение буратино 
"Глупость для одних-трагедия,для других-забава.", глупость трагедия забава 
"Не хлебом единым жив человек, но духом Святым.", хлеб единый живой человек дух святой 
- Нельзя поверить в невозможное!, поверять невозможный 
"Страсти держатся одна за другую, как звенья в цепи.", страсть держаться звено цепь 
"Спеши бежать из того места, где спорят, и душа твоя будет умиротворенной.", спешить бежать место спорить душа твой умиротворенный 
"Утешайся Господом, и Он исполнит желание сердца твоего.", утешаться господь исполнять желание сердце твой 
"Если мы с Богом находимся, то дьявол в борьбе с нами слаб, как дитя.", бог находиться дьявол борьба слабый дитя 
Молитва верующих есть величайшее мучение и ужас для злых духов., молитва веровать великий мучение ужас злой дух 
Телесные болезни очищают душевные., телесный болезнь очищать душевный 
"В болезнях, прежде врачей и лекарств, пользуйся молитвою.", болезнь прежде врач лекарство пользоваться молитва 
Я мзду не беру. Мне за державу обидно, мзда брать держава обидно 
Есть установка весело встретить Новый год., установка весело встречать новый год 
"Я и сам шутить не люблю, и людям не дам.", шутить любить человек давать 
"Если я встану, ты у меня ляжешь.", вставать ложиться 
"Умей жить и тогда, когда жизнь становится невыносимой. Сделай ее полезной.", уметь жить жизнь становиться невыносимый сделать полезный 
"Будь жесток к себе, если не хочешь, чтобы другие были к тебе жестоки.", жестокий хотеть жестокий 
"Страхи всегда являются препятствием для осуществления цели,и если их не вытеснить,не подавить в себе-они будут снова порождать новые страхи и новые тревоги.", страх являться препятствие осуществление цель вытеснять подавлять снова порождать новый страх новый тревога 
"Дураки уже стали центром вселенной,пытаясь смешить народ.", дурак становиться центр вселенная пытаться смешить народ 
"Разница между тем, что трудно, и тем, что невозможно, в том, что на невозможное уходит больше времени.", разница трудно невозможный невозможный уходить время 
В жизни человека необходима романтика. Именно она придает человеку божественные силы для путешествия по ту сторону обыденности...., жизнь человек необходимый романтика именно придавать человек божественный сила путешествие сторона обыденность .... 
"... жизнь человека - лишь смена настроений, состоящих из воспоминаний и надежд.", ... жизнь человек лишь смена настроение состоять воспоминание надежда 
"Надо же встретить хоть какое-нибудь препятствие, чтобы оценить как следует успех!", встречать какой-нибудь препятствие оценивать следовать успех 
"Не следует слишком часто навещать своего друга, дабы он не пресытился тобой и не возненавидел тебя.", следовать слишком часто навещать свой друг дабы пресыщаться возненавидеть 
"Знания-это возможность получить путевку в жизнь,без них уровень жизни был бы ничтожным.", знание это возможность получать путевка жизнь уровень жизнь ничтожный 
"Бедность-это показатель уровня жизни тех людей,кого затронула она.", бедность это показатель уровень жизнь человек затрагивать 
"... всегда существуют причины для беспокойства и страха, возможность неудачи или получения отказа, напряжение и боль. Это часть жизни. Но не ее суть.", ... существовать причина беспокойство страх возможность неудача получение отказ напряжение боль это часть жизнь суть 
"Ни один человек не может стать для тебя более чужим, чем тот, которого когда-то в прошлом ты очень сильно любил.", человек мочь становиться чужой который когда-то прошлое очень сильно любить 
"Есть три разновидности лжи: ложь, гнусная ложь и статистика.", разновидность ложь ложь гнусный ложь статистика 
"В любви есть деспотизм и рабство. И наиболее деспотична любовь женская, требующая себе всего!", любовь деспотизм рабство наиболее деспотичный любовь женский требовать весь 
"Небольшие жеманные стихотворения раздражают нервы больше, нежели скрип немазаных колес.", небольшой жеманный стихотворение раздражать нерв нежели скрип немазаный колесо 
"Меркою достоинства женщины может быть мужчина, которого она любит.", мерка достоинство женщина мочь мужчина который любить 
"Гений всегда внушает удивление, но характер прежде всего вызывает уважение к себе.", гений внушать удивление характер прежде вызывать уважение 
Вера есть понимание смысла жизни и признание вытекающих из этого понимания обязанностей., вера понимание смысл жизнь признание вытекать понимание обязанность 
"Законы нужны, чтобы страхом перед ними человеческая дерзость обузда-лась и чтобы спокойно существовала между негодными невинность.", закон нужный страх человеческий дерзость обузда лася спокойно существовать негодный невинность 
"Быть сильным хорошо, Быть умным лучше вдвое.", сильный умный вдвое 
"Никогда не ищите удовольствия, но будьте всегда готовы находить во всем удовольствие.", искать удовольствие готовый находить удовольствие 
"Избегай невежды, считающего себя ученым.", избегать невежда считать ученый 
Алчность есть преступное желание чужого., алчность преступный желание чужой 
Бессильна с клеветой бороться добродетель., бессильный клевета бороться добродетель 
"В древности люди учились для того, чтобы совершенствовать себя. Ныне учатся для того, чтобы удивить других.", древность человек учиться совершенствовать ныне учиться удивлять 
Дурная жена в доме подобна злой вьюге., дурной жена дом подобный злой вьюга 
"Поистине, многие люди читают только для того, чтоб иметь право не думать.", поистине многий человек читать иметь право думать 
"Человека, клевещущего на других, изгоняй из дома.", человек клеветать изгонять дом 
"Кто после разговора с вами бывает доволен собою и своим умом, тот и вами вполне доволен.", разговор бывать довольный свой ум вполне довольный 
"Если действовать не будешь, Ни к чему ума палата.", действовать ум палата 
"Доказывая свое мнение и опровергая другие, если они ошибочны, будь сдержан как в словах, так и в выражениях.", доказывать свой мнение опровергать ошибочный сдержанный слово выражение 
"Воспитание, главным образом, должно засеять наши сердца полезными для индивида и общества привычками.", воспитание главный образ должно засеивать наш сердце полезный индивид общество привычка 
"Жажда покоя убивает страсть души, а потом идет, ухмыляясь, в погребальном шествии.", жажда покой убивать страсть душа идти ухмыляться погребальный шествие 
"Сначала в силах мы сопротивляться страсти, Пока она своей не показала власти.", сначала сила сопротивляться страсть пока свой показывать власть 
"Никогда не спеши и не горячись. Научись властвовать собой, тогда будешь властвовать другими.", спешить горячиться научаться властвовать властвовать 
"Смеяться можно над чем угодно, но не когда угодно. Мы шутим по поводу смертного ложа, но не у смертного ложа.", смеяться угодно угодно шутить повод смертный ложе смертный ложе 
"Только то общество, в котором народ пользуется верховной властью, есть истинное вместилище свободы.", общество который народ пользоваться верховный власть истинный вместилище свобода 
"К свободе ведет лишь одна дорога: презрение к тому, что не зависит от нас.", свобода вести лишь дорога презрение зависеть 
"Ничего так не следует остерегаться в старости, как лени и безделья.", ничто следовать остерегаться старость лень безделье 
Из всех обязанностей по отношению к другим первейшей является правдивость в словах и делах., весь обязанность отношение первейший являться правдивость слово дело 
Степень правдивости человека есть указатель степени его нравственного совершенства., степень правдивость человек указатель степень нравственный совершенство 
"Не принимай благодеяний, без которых ты можешь обойтись.", принимать благодеяние который мочь обходиться 
Дитя родителям оказывает благодарность покорностию и почтением., дитя родитель оказывать благодарность покорностия почтение 
"Закон повелевает то, что следует делать, и запрещает противное этому.", закон повелевать следовать делать запрещать противный 
"Льстецы, льстецы! Старайтесь сохранить И в подлости осанку благородства.", льстец льстец стараться сохранять подлость осанка благородство 
"Когда книга сталкивается с головою и при этом раздается глухой пустой звук, разве всегда виновата книга?", книга сталкиваться голова это раздаваться глухой пустой звук виноватый книга 
"Доверие, оказанное вероломному, дает ему возможность вредить.", доверие оказывать вероломный давать возможность вредить 
"Повторять это стало пресно,", повторять это становиться пресный 
"Время довольно длинно для того, кто им пользуется; кто трудится и кто мыслит, тот расширяет его пределы.", время довольно длинно пользоваться трудиться мыслить расширять предел 
"Страх опасности всегда страшнее опасности, уже наступившей, и ожидание зла в десять тысяч раз хуже самого зла.", страх опасность страшно опасность наступать ожидание зло десять тысяча плохой зло 
"На соседском поле урожай всегда кажется лучше, и соседская корова дает больше молока.", соседский поле урожай кажется соседский корова давать молоко 
"Чем проще человек выражается, тем легче его понимают.", просто человек выражаться легкий понимать 
"Все то, что чувствует наша душа в виде смутных, неясных ощущений, театр преподносит нам в громких словах и ярких образах, сила которых поражает нас.", весь чувствовать наш душа вид смутный неясный ощущение театр преподносить громкий слово яркий образ сила который поражать 
Правда и красота всегда составляли главное в человеческой жизни и вообще на земле., правда красота составлять главный человеческий жизнь вообще земля 
"Я побеждаю своих врагов тем, что превращаю их в друзей.", побеждать свой враг превращать друг 
"Кто хочет честно пройти свою жизнь, должен в молодости иметь в виду, что когда-нибудь он будет стариком, а в старости помнить, что и он когда-то был молод.", хотеть честно проходить свой жизнь должный молодость иметь вид когда-нибудь старик старость помнить когда-то молодой 
Юмор есть остроумие глубокого чувства., юмор остроумие глубокий чувство 
"Женщины и молодые люди умеют ценить лишь тех, к кому питают склонность.", женщина молодой человек уметь ценить лишь питать склонность 
"Надеяться всегда лучше, чем отчаиваться.", надеяться отчаиваться 
"Следуй голосу ума, а не гнева.", следовать голос ум гнев 
"Не стыдись учиться в зрелом возрасте: лучше научиться поздно, чем никогда.", стыдиться учиться зрелый возраст научаться поздно 
"То, что в одних случаях называется свободой, в других называется распущенностью.", случай называться свобода называться распущенность 
"Правителя можно сравнить с лодкой, а народ с водой: вода может нести водку, а может ее и опрокинуть.", правитель сравнивать лодка народ вода вода мочь нести водка опрокидывать 
"Я не знаю профессии, которая требовала бы более изысканных форм и более чистых нравов, чем театр.", знать профессия который требовать изысканный форма чистый нрав театр 
"Существуют люди, которые лгут, просто чтобы лгать.", существовать человек который лгать просто лгать 
"Пусть моим последним словом будет, что верю в твою любовь.", пусть последний слово верить твой любовь 
"При встрече с достоиным человеком думай о том, как сравняться с ним. Встречаясь с низким человеком, присматривайся к самому себе и сам себя суди.", встреча достоин человек думать сравниваться встречаться низкий человек присматриваться судить 
Одно сегодня стоит двух завтра., сегодня стоять завтра 
Слепой может объехать весь мир и ничего не заметить., слепой мочь объехать весь мир ничто замечать 
"Ударами можно добиться от земли только пыли, но не жатвы.", удар добиваться земля пыль жатва 
"Гений есть терпение мысли, сосредоточенной в известном направлении.", гений терпение мысль сосредоточивать известный направление 
"Истинная вера человека направлена не на то, чтобы доставить ему покой, а чтобы дать ему силы на труд.", истинный вера человек направлять доставлять покой давать сила труд 
"Истинное знание состоит не в знакомстве с фактами, которые делают человека лишь предметом, а в использовании фактов, которое делает его философом.", истинный знание состоять знакомство факт который делать человек лишь предмет использование факт который делать философ 
Частый и громкий смех есть признак глупости и дурного воспитания., частый громкий смех признак глупость дурной воспитание 
В ласковых речах бывает яд., ласковый речь бывать яд 
И после плохого урожая надо сеять., плохой урожай сеять 
"Ужасный век, ужасные сердца!", ужасный век ужасный сердце 
Искусство обучения есть искусство будить в юных душах любознательность и затем удовлетворять ее..., искусство обучение искусство будить юный душа любознательность затем удовлетворять ... 
"Человека подкупает не сама лесть, а то, что его считают достойным лести.", человек подкупать лесть считать достойный лесть 
В старости не увеличивается число друзей: все потери тогда безвозвратны., старость увеличиваться число друг весь потеря безвозвратный 
"Воробей жалеет павлина за то, что у него такой тяжелый хвост.", воробей жалеть павлин тяжелый хвост 
"Найдется ли еще на свете существо, Что ищет гибели для рода своего? И только человек при случае удобном Охотно нанесет ущерб себе подобным.", находиться свет существо искать гибель род свой человек случай удобный охотно наносить ущерб подобный 
Интуиция всех лучше мудрости самого гениального одиночки., интуиция весь мудрость самый гениальный одиночка 
"Живут лишь те, кто творит добро.", жить лишь творить добро 
"Изгони из сердца жадность, ничего не жди от мира, И тотчас безмерно щедрым мир покажется тебе.", изгонять сердце жадность ничто ждать мир тотчас безмерно щедрый мир показываться 
"Ум, весь состоящий из одной логики, подобен ножу из одного лезвия: он ранит в кровь руку, берущую его.", ум весь состоять логика подобный нож лезвие ранить кровь рука брать 
"Трусость очень вредна потому, что она удерживает волю от полезных действий.", трусость очень вредный удерживать воля полезный действие 
Талант великих душ есть узнавать великое в других людях., талант великий душа узнавать великий человек 
"Много ли вы знаете «любящих» мужчин, которые отказались бы от красивой и доступной женщины? А если кто и откажется, значит, ему недостает темперамента.", знать  « любить »  мужчина который отказываться красивый доступный женщина отказываться значит недоставать темперамент 
"Если человек с ранних лет усвоил привычку к труду, труд ему приятен. Если же у него этой привычки нет, то лень делает труд ненавистным.", человек ранний год усваивать привычка труд труд приятный привычка лень делать труд ненавистный 
Живопись спорит и соревнуется с природой., живопись спорить соревноваться природа 
Малодушие всегда найдет себе философское оправдание., малодушие находить философский оправдание 
"То, что мы испытываем, когда бываем влюблены, быть может, есть нормальное состояние. Влюбленность указывает человеку, каким он должен быть.", испытывать бывать влюбленный мочь нормальный состояние влюбленность указывать человек должный 
"Если бы не Церковь, никто бы не знал про евреев.", церковь никто знать еврей 
"Пусть покинет меня все остальное, только б не покинуло мужество.", пусть покидать остальное б покидать мужество 
"Если время самая драгоценная вещь, то растрата времени является самым большим мотовством.", время самый драгоценный вещь растрата время являться самый большой мотовство 
"Преступно брать деньги за вынесенные приговоры; еще преступнее осудить того, с кого возьмешь деньги за оправдание.", преступно брать деньги вынести приговор преступный осуждать взять деньги оправдание 
"Блажен тот, кто ничего не знает: он не рискует быть непонятым.", блаженный ничто знать рисковать непонятый 
"Нет врага более жестокого, чем прежний друг.", враг жестокий прежний друг 
"Когда переведутся донкихоты, пускай закроется книга Истории. В ней нечего будет читать.", переводиться донкихот пускай закрываться книга история нечего читать 
"Глупости свойственно видеть чужие пороки, а о своих забывать.", глупость свойственный видеть чужой порок свой забывать 
"В каждом человеке природа всходит либо злаками, либо сорной травою; пусть же он своевременно поливает первое и истребляет второе.", каждый человек природа всходить либо злак либо сорный трава пусть своевременно поливать первый истреблять второй 
Никто не становится хорошим человеком случайно., никто становиться хороший человек случайно 
"Не навязывай никому того, чего хочешь для себя: вкусы различны.", навязывать никто хотеть вкус различный 
"Многие, хоть стыдно в том признаться, С умом людей боятся И терпят при себе охотней дураков.", многие стыдно признаваться ум человек бояться терпеть охотно дурак 
Законы и установления должны идти рука об руку с прогрессом человеческой души., закон установление должный идти рука рука прогресс человеческий душа 
"Когда глаза говорят одно, а язык другое, опытный человек больше верит первым.", глаз говорить язык опытный человек верить первый 
Нежными словами и добротой можно на волоске вести слона., нежный слово доброта волосок весть слон 
"Маленькие мечты делают человека бесполезным для мира, когда большая мечта способна творить поистине великие события.", маленький мечта делать человек бесполезный мир большой мечта способный творить поистине великий событие 
"Будущее исполнено неопределенности, но эта обманчивость будущего является величайшим благом.", будущее исполнять неопределенность обманчивость будущее являться великий благо 
"Невежество делает людей смелыми, а размышление - нерешительными.", невежество делать человек смелый размышление нерешительный 
"И никогда не следует строить расчеты на отдельных ошибках противника, но полагаться только на свою собственную готовность к войне.", следовать строить расчет отдельный ошибка противник полагаться свой собственный готовность война 
"Лицо отделывается изнутри - душой, снаружи - жизнью. В каждом лице можно различить и то, и другое.", лицо отделываться изнутри душа снаружи жизнь каждый лицо различать 
Наше общество - это погоня безумных людей за безумными целями., наш общество это погоня безумный человек безумный цель 
"Говоря что-либо, дурное или хорошее, не клянитесь богом, не креститесь, ибо нет тебе в этом никакой нужды.", говорить что-либо дурной хороший клясться бог креститься ибо это никакой нужда 
"И море чисел, дат, заметок,", море число дата заметка 
"Прощайте, кучи нервных клеток,", прощать куча нервный клетка 
"Лишившись чувства собственной важности, мы становимся неуязвимыми.", лишаться чувство собственный важность становиться неуязвимый 
"Пока у человека есть чувства,он будет всегда купаться в любви.", пока человек чувство купаться любовь 
"Чтобы любить кого то-много ума не надо,достаточно сделать шаги навстречу друг к другу,ища тем самым точку соприкосновения.", любить ум достаточно сделать шаг навстречу друг друг искать самый точка соприкосновение 
"Молитву не читайте как стихи,ведь в ней заложена божественная сила.", молитва читать стих закладывать божественный сила 
"Слова часто портят то, что хочет сказать сердце.", слово часто портить хотеть сказать сердце 
"Если счастье вам улыбнулось,постарайтесь его удержать.", счастие улыбаться постараться удерживать 
На войне потери неизбежны!, война потеря неизбежный 
"Ничто так не подстегивает в отношениях, как желание сохранить их вопреки известным уже преградам.", ничто подстегивать отношение желание сохранять вопреки известный преграда 
"Крепче всего запирают ворота, которые никуда не ведут.", крепко запирать ворота который никуда вести 
"Если дружба, которая была дружбой не только на словах, рвется в один час, то, как правило, она рвется с мясом.", дружба который дружба слово рваться час правило рваться мясо 
"Не бросайте животных... прошу вас, они самые преданные и любят вас независимо от того, кто вы и сколько у вас денег.", бросать животное ... просить самый преданный любить независимо сколько деньги 
"Если вы хотите рассмешить Бога, расскажите ему о своих планах.", хотеть рассмешить бог рассказывать свой план 
"Будь у людей больше чувства юмора, мы бы жили в совсем другом мире.", человек чувство юмор жить мир 
Наша ложь мешает нам приблизиться к истине., наш ложь мешать приближаться истина 
"Если вы подберете на улице дворовую собаку и накормите ее, она никогда вас не укусит. В этом и состоит разница между собакой и человеком.", подбирать улица дворовый собака накормить укусить это состоять разница собака человек 
"Дабы не казаться дураком-надо уметь подать себя так,чтобы смотреться в других глазах умным.", дабы казаться дурак уметь подавать смотреться глаз умный 
"Умный опирается на свои знания,дурак-пренебрегает ими.", умный опираться свой знание дурак пренебрегать 
"Судьба не всегда благосклонна к нам,многих лишает счастья.", судьба благосклонный многие лишать счастие 
"В сложившихся обстоятельствах люди обычно используют эффект наглости-кому то она идет на пользу,кому то во вред.", складываться обстоятельство человек обычно использовать эффект наглость идти польза вред 
"Красота телесных форм всегда совпадает с понятием о здоровой силе, о деятельности жизненной энергии.", красота телесный форма совпадать понятие здоровый сила деятельность жизненный энергия 
"Невежество делает человека равнодушным к миру, а равнодушие растет медленно, но необратимо, как раковая опухоль.", невежество делать человек равнодушный мир равнодушие расти медленно необратимо раковый опухоль 
"Мы ничего не раздаем с такой щедростью, как советы.", ничто раздавать щедрость совет 
Воспоминание неволи делает свободу еще сладостнее., воспоминание неволя делать свобода сладостный 
"Пока математический закон отражает реальную действительность, он не точен; как только математический закон точен, он не отражает реальную действительность.", пока математический закон отражать реальный действительность точный математический закон точный отражать реальный действительность 
"Они научились говорить перед другими, но не сами с собой.", научаться говорить 
"Нельзя помочь тому, кто не желает слушать советы.", помогать желать слушать совет 
"Надлежит законы и указы писать явно, чтоб их не перетолковать. Правды в людях мало, а коварства много. Под них такие же подкопы чинят, как и под фортецию.", надлежать закон указ писать явно перетолковывать правда человек мало коварство подкоп чинить фортеций 
"...Кто испытал наслаждение творчества, для того все другие наслаждения уже не существуют.", ... испытывать наслаждение творчество весь наслаждение существовать 
"Люди глупо доверчивы... Вся реклама мира основана на трех принципах: «орошо, много и даром». Поэтому можно давать скверно, мало и дорого.", человек глупо доверчивый ... весь реклама мир основывать принцип : « орошо даром » поэтому давать скверно мало дорого 
"С шуткой обращайся осторожно. Ты, возможно, будешь понят ложно.", шутка обращаться осторожно возможно понимать ложно 
"Таков порок, присущий нашей природе: вещи невидимые, скрытые и непознанные порождают в нас и большую веру, и сильнейший страх.", таков порок присущий наш природа вещь невидимый скрытый непознанный порождать большой вера сильный страх 
"Поклонение героям должно выражаться в том, что сами мы будем героически настроены.", поклонение герой должный выражаться героически настраивать 
Молчи или говори что-нибудь получше молчания., молчать говорить что-нибудь молчание 
Желание избежать ошибки вовлекает в другую., желание избегать ошибка вовлекать 
"Страсти вводят нас в заблуждение, так как они сосредоточивают все наше внимание на одной стороне рассматриваемого предмета и не дают нам возможности исследовать его всесторонне.", страсть вводить заблуждение сосредоточивать наш внимание сторона рассматривать предмет давать возможность исследовать всесторонне 
"Всякий человек есть история, не похожая ни на какую другую.", всякий человек история похожий 
"Наблюдайте за поведением человека, вникайте в причины его поступков, приглядывайтесь к нему в часы досуга. Останется ли он тогда для вас загадкой?", наблюдать поведение человек вникать причина поступок приглядываться час досуг оставаться загадка 
"Мы должны благодарить тех, которые указывают нам наши недостатки.", должный благодарить который указывать наш недостаток 
